modelo,precision,recall
Logistic Regression,0.19203333333333333,1.0
Logistic Regression,0.19203973465782193,1.0
Logistic Regression,0.19204613640909393,1.0
Logistic Regression,0.19205253858719204,1.0
Logistic Regression,0.19205894119215897,1.0
Logistic Regression,0.19206534422403734,1.0
Logistic Regression,0.19207174768286991,1.0
Logistic Regression,0.19207815156869937,1.0
Logistic Regression,0.19208455588156842,1.0
Logistic Regression,0.19209096062151979,1.0
Logistic Regression,0.1920973657885962,1.0
Logistic Regression,0.19210377138284038,1.0
Logistic Regression,0.19207683073229292,0.9998264190244749
Logistic Regression,0.19208323606896321,0.9998264190244749
Logistic Regression,0.19208964183285535,0.9998264190244749
Logistic Regression,0.192096048024012,0.9998264190244749
Logistic Regression,0.192102454642476,0.9998264190244749
Logistic Regression,0.19210886168829003,0.9998264190244749
Logistic Regression,0.1921152691614969,0.9998264190244749
Logistic Regression,0.19212167706213937,0.9998264190244749
Logistic Regression,0.19212808539026016,0.9998264190244749
Logistic Regression,0.19213449414590214,0.9998264190244749
Logistic Regression,0.19214090332910802,0.9998264190244749
Logistic Regression,0.1921473129399206,0.9998264190244749
Logistic Regression,0.1921537229783827,0.9998264190244749
Logistic Regression,0.1921601334445371,0.9998264190244749
Logistic Regression,0.19216654433842664,0.9998264190244749
Logistic Regression,0.1921729556600941,0.9998264190244749
Logistic Regression,0.19217936740958227,0.9998264190244749
Logistic Regression,0.19218577958693403,0.9998264190244749
Logistic Regression,0.19215882549215882,0.9996528380489499
Logistic Regression,0.1921652374119924,0.9996528380489499
Logistic Regression,0.19217164975974374,0.9996528380489499
Logistic Regression,0.19217806253545566,0.9996528380489499
Logistic Regression,0.19218447573917105,0.9996528380489499
Logistic Regression,0.19219088937093276,0.9996528380489499
Logistic Regression,0.1921639300493926,0.9994792570734248
Logistic Regression,0.1921703434235557,0.9994792570734248
Logistic Regression,0.19217675722581937,0.9994792570734248
Logistic Regression,0.19218317145622643,0.9994792570734248
Logistic Regression,0.19218958611481976,0.9994792570734248
Logistic Regression,0.19219600120164224,0.9994792570734248
Logistic Regression,0.19220241671673677,0.9994792570734248
Logistic Regression,0.1922088326601462,0.9994792570734248
Logistic Regression,0.19221524903191348,0.9994792570734248
Logistic Regression,0.19222166583208145,0.9994792570734248
Logistic Regression,0.19222808306069306,0.9994792570734248
Logistic Regression,0.19223450071779122,0.9994792570734248
Logistic Regression,0.19224091880341881,0.9994792570734248
Logistic Regression,0.19224733731761878,0.9994792570734248
Logistic Regression,0.19225375626043406,0.9994792570734248
Logistic Regression,0.1922601756319076,0.9994792570734248
Logistic Regression,0.19226659543208227,0.9994792570734248
Logistic Regression,0.1922730156610011,0.9994792570734248
Logistic Regression,0.192279436318707,0.9994792570734248
Logistic Regression,0.19228585740524295,0.9994792570734248
Logistic Regression,0.19229227892065187,0.9994792570734248
Logistic Regression,0.1922987008649768,0.9994792570734248
Logistic Regression,0.19230512323826063,0.9994792570734248
Logistic Regression,0.1923115460405464,0.9994792570734248
Logistic Regression,0.19231796927187708,0.9994792570734248
Logistic Regression,0.19232439293229567,0.9994792570734248
Logistic Regression,0.19233081702184515,0.9994792570734248
Logistic Regression,0.19233724154056853,0.9994792570734248
Logistic Regression,0.1923436664885088,0.9994792570734248
