threshold,precision,recall,f1_score,accuracy
0.1,0.2670847967887607,0.9239715327200139,0.4143863609824452,0.4985
0.15000000000000002,0.31286894923258557,0.8279812532546433,0.4541343361736564,0.6177666666666667
0.20000000000000004,0.35951502372166577,0.7102933518486374,0.47739602169981915,0.7013666666666667
0.25000000000000006,0.40421251922849366,0.5929526123936817,0.48072051787222064,0.754
0.30000000000000004,0.44684570157317655,0.48810970317653185,0.46656711465073836,0.7856666666666666
0.3500000000000001,0.47978793903247186,0.3770178788404791,0.42223950233281493,0.8018666666666666
0.40000000000000013,0.5140562248995983,0.2888387432737372,0.36985996888197376,0.811
0.45000000000000007,0.5389326334208224,0.21385176184690158,0.30620106872126257,0.8139
0.5000000000000001,0.5730622617534943,0.15657003992362437,0.24594410361281527,0.8156333333333333
0.5500000000000002,0.5887323943661972,0.1088352716542267,0.18370934661588045,0.8142666666666667
0.6000000000000002,0.6151645207439199,0.07463981947578545,0.13312693498452013,0.8133333333333334
0.6500000000000001,0.6291866028708134,0.04565179656309668,0.08512704321087555,0.8115666666666667
0.7000000000000002,0.6265560165975104,0.02621072730428745,0.05031656114628457,0.81
0.7500000000000002,0.6573426573426573,0.01631661169935775,0.03184281842818428,0.8094666666666667
0.8000000000000002,0.6986301369863014,0.008852629751779206,0.01748371614672609,0.8089333333333333
0.8500000000000002,0.85,0.002950876583926402,0.005881335409098772,0.8084333333333333
0.9000000000000002,1.0,0.00017358097552508245,0.0003471017007983339,0.808
